,,,DISTRICTWISE RAINFALL DISTRIBUTION,,,,,,,
S.No.,MET.,SUBDIVISION/ UT,DAY :,22.02.2026,TO,22.02.2026,PERIOD :,01.01.2026,TO,22.02.2026
,STATE/DISTRICT (NAME),,ACTUAL,NORMAL,% DEP.,CAT.,ACTUAL,NORMAL,% DEP.,CAT.
,,,(mm),(mm),,,(mm),(mm),,
6,GANGETIC WEST BENGAL,,0,0.5,-100%,NR,0,25.1,-100%,NR
1,BANKURA,,0,0.7,-100%,NR,0,23,-100%,NR
2,BIRBHUM,,0,0.3,-100%,NR,0,17.7,-100%,NR
3,EAST MIDNAPORE,,0,0.4,-100%,NR,0,34.9,-100%,NR
4,HOOGHLY,,0,0.4,-100%,NR,0,25,-100%,NR
5,HOWRAH,,0,0,-100%,NR,0,26,-100%,NR
6,JHARGRAM,,0,0.1,-100%,NR,0,32,-100%,NR
7,KOLKATA,,0,0.3,-100%,NR,0,30.1,-100%,NR
8,MURSHIDABAD,,0,0.1,-100%,NR,0,14,-100%,NR
9,NADIA,,0,0.3,-100%,NR,0,20,-100%,NR
,,,DISTRICTWISE RAINFALL DISTRIBUTION,,,,,,,
S.No.,MET.,SUBDIVISION/ UT,DAY :,22.02.2026,TO,22.02.2026,PERIOD :,01.01.2026,TO,22.02.2026
,STATE/DISTRICT (NAME),,ACTUAL,NORMAL,% DEP.,CAT.,ACTUAL,NORMAL,% DEP.,CAT.
,,,(mm),(mm),,,(mm),(mm),,
10,NORTH 24 PARGANAS,,0,1.9,-100%,NR,0,28.9,-100%,NR
11,PASCHIM BARDHAMAN,,0,0.2,-100%,NR,0,22.1,-100%,NR
12,PURBA BARDHAMAN,,0,2.3,-100%,NR,0,24.9,-100%,NR
13,PURULIA,,0,0,-100%,NR,0,21.6,-100%,NR
14,SOUTH 24 PARGANAS,,0,0.1,-100%,NR,0,28.7,-100%,NR
15,WEST MIDNAPORE,,0,0.1,-100%,NR,0,32,-100%,NR
7,ODISHA,,0,0.2,-100%,NR,0,21.6,-100%,NR
1,ANGUL,,0,0.1,-100%,NR,0,22.4,-100%,NR
2,BALASORE,,0,0.5,-100%,NR,0,32.7,-100%,NR
3,BARGARH,,0,0,-100%,NR,0,18.1,-100%,NR
4,BHADRAK,,0,1,-100%,NR,0,26.3,-100%,NR
5,BOLANGIR,,0,0.1,-100%,NR,0,17.9,-100%,NR
6,BOUDHGARH,,0,0,-100%,NR,0,16.6,-100%,NR
7,CUTTACK,,0,0.5,-100%,NR,0,24.8,-100%,NR
8,DEOGARH,,0,0,-100%,NR,0,25.1,-100%,NR
9,DHENKANAL,,0,0.1,-100%,NR,0,21.7,-100%,NR
10,GAJAPATI,,0,0.3,-100%,NR,0,23.8,-100%,NR
11,GANJAM,,0,0.3,-100%,NR,0,23.8,-100%,NR
12,JAGATSINGHPUR,,0,0.1,-100%,NR,0,19.3,-100%,NR
13,JAJPUR,,0,0.2,-100%,NR,0,23.8,-100%,NR
14,JHARSUGUDA,,0,0.1,-100%,NR,0,26,-100%,NR
15,KALAHANDI,,0,0.4,-100%,NR,0,14.9,-100%,NR
16,KANDHAMAL,,0,0,-100%,NR,0,27.7,-100%,NR
17,KENDRAPARA,,0,0.4,-100%,NR,0,19.7,-100%,NR
18,KEONJHARGARH,,0,0.3,-100%,NR,0,28.7,-100%,NR
